Title,Job Link,Job ID,Job Category ID,Company Name,Promotion Text,Location,Experience Required,Deadline,Vacancy,Age,Salary,Published,Additional Requirements,Education,Remuneration Package,Employment Status,Gender
Manager - Compliance & Inventory,https://jobs.bdjobs.com/jobdetails/?id=1393429&fcatId=1&ln=1,1393429,1,Lal Teer Livestock Ltd.,,Dhaka,At least 5 year(s),6 Sep2025,--,At least 35 years,Negotiable,07 Aug 2025,"Age At least 35 years; Excellent Communication skills both in English & Bangla.; Must have basic computer skills MS Word, Excel, Power point and Internet browsing.",Master of Business Administration (MBA) in Accounting; Master of Business Administration (MBA) in Finance; Master of Business Administration (MBA) in Marketing; Master of Business Administration (MBA) in Management; Master of Law (LLM); Master of Business Administration (MBA) in Accounting / Finance/ Marketing/ Management or Law from a Public University or any renowned Private University.,"Mobile bill, Tour allowance, Provident fund; Salary Review: Yearly; Festival Bonus: 2",Full Time,N/A
Deputy Manager/ Manager – Accounts,https://jobs.bdjobs.com/jobdetails/?id=1393396&fcatId=1&ln=1,1393396,1,SQ Group of Companies,,Dhaka,4 to 6 year(s),6 Sep2025,--,28 to 45 years,Negotiable,07 Aug 2025,Age 28 to 45 years,Master of Business Administration (MBA) in Accounting; Master of Business Administration (MBA) in Finance & Banking; CA (Chartered Accountancy) course completed (CA CC) is required.; Part-qualified ICAB will be considered an advantage.,Mobile bill; Salary Review: Yearly; Festival Bonus: 2,Full Time,N/A
Senior Accountant,https://jobs.bdjobs.com/jobdetails/?id=1393327&fcatId=1&ln=1,1393327,1,A Reputed Apartment & Developers Company,,Chattogram,At least 5 year(s),5 Sep2025,1,N/A,Negotiable,06 Aug 2025,,Needs to have experience in working in real estate development field,N/A,Full Time,N/A
ACCOUNTS,https://jobs.bdjobs.com/jobdetails/?id=1392628&fcatId=1&ln=1,1392628,1,MUNIA OVERSEAS (RL-2452),N/A,Uttara Sector 17,2 to 6 year(s),14 Aug2025,5,23 to 35 years,Negotiable,06 Aug 2025,Age 23 to 35 years,Bachelor/Honors,"Mobile bill,Pension policy,Tour allowance; Lunch Facilities: Full Subsidize; Salary Review: Yearly; Festival Bonus: 2",Full Time,Only Female
Accountant & Finance Officer,https://jobs.bdjobs.com/jobdetails/?id=1393199&fcatId=1&ln=1,1393199,1,Sino Bangladesh Trade International Ltd,N/A,Banani,2 to 5 year(s),20 Aug2025,2,25 to 35 years,Tk. 25000 - 30000 (Monthly),06 Aug 2025,Age 25 to 35 years,Bachelor of Commerce (BCom) in Finance & Banking,"Mobile bill,T/A; Salary Review: Yearly; Lunch Facilities: Full Subsidize; Festival Bonus: 2",Full Time,Only Female
Officer (Finance & Accounts),https://jobs.bdjobs.com/jobdetails/?id=1393288&fcatId=1&ln=1,1393288,1,CavinKare (Bangladesh) Private Limited,N/A,Demra,3 to 5 year(s),25 Aug2025,1,At most 40 years,Negotiable,06 Aug 2025,"Age At most 40 years; 3-5 years of experience in payable, treasury & core accounts, or related finance roles.; SAP-Business One/ERP or Familiarity with accounting.; Proficient in Microsoft Excel, with the ability to work with formulas, pivot tables, and data analysis tools. Practical Excel Test will be taken.; Good communication skills and ability to interact within the organization and with the bankers and vendors in an efficient way.; Proficient in English Communication is must.; Strong attention to detail, accuracy, and organizational skills.; Knowledge of VAT and Tax is must.; Can do attitude, problem solving skills, self-motivated person and team player.; Aware of deadlines and extended working hours mentality.",,"Mobile bill,Insurance,Gratuity,Weekly 2 holidays; Lunch Facilities: Partially Subsidize; Salary Review: Yearly; Festival Bonus: 2",Full Time,Only Male
Accounts Officer,https://jobs.bdjobs.com/jobdetails/?id=1387315&fcatId=1&ln=1,1387315,1,Ocean Group,N/A,"Chattogram, Dhaka, Narayanganj",At least 5 year(s),5 Sep2025,--,At most 35 years,Negotiable,06 Aug 2025,"Age At most 35 years; The applicants should have experience in the following business area(s): Import & Trading, Shipping, Transport, Ready-mix.; Strong understanding of accounting principles and financial regulations.; Proficiency in accounting software .; Excellent   analytical and problem-solving skills.; Strong attention to  detail  and organizational skills.; Good communication and interpersonal abilities.; Ability to work under pressure and meet deadlines.",Master’s in Accounting from a reputed University.,Lunch Facilities: Partially Subsidize; Salary Review: Yearly; Festival Bonus: 2,Full Time,N/A
Senior Executive - Finance,https://jobs.bdjobs.com/jobdetails/?id=1393197&fcatId=1&ln=1,1393197,1,Linde Bangladesh Limited,,Dhaka,At least 5 year(s),12 Aug2025,1,N/A,N/A,06 Aug 2025,"Large company experience, preferably in multinational organizations; Minimum 2 years of experience in relevant field; Must have Finance & Accounting skills, Reporting skills and interpersonal skills; Strong problem solving, analytical and communication skills; Knowledge of appropriate business and marketing principles and practices related to revenue generated activities in the private sector; SAP FI & MM module to maintain high standard of documentation; Thorough knowledge of contract administration; Ability to work under pressure with deadlines.; Timely completion of the assigned job to meet various targets (Group & local), is also a challenge for the job, where time is a limiting factor; Experienced in use of Microsoft Excel, Word, and Power Point; Strong communications skills (effective presentations at all levels, negotiation, conflict resolution); Work closely with Managers and other officers in various locations within the country, external organizations including industry and legislative bodies.; Collaboration with other functions","Masters; CMA intermediate, master's degree with total 5 years of work experience.","Attractive compensation package including market standard structure; Comprehensive Group life, hospitalization, out-patient & maternity Insurance coverage; Yearly executive health checkup at renowned hospital; Gratuity, Provident Fund & WPPF; Performance bonus & annual leave encashment; 5 days on & 2 days off work schedule; Professional & multicultural working environment.",Full Time,N/A
Head of  Internal Audit (CTG Regional),https://jobs.bdjobs.com/jobdetails/?id=1393205&fcatId=1&ln=1,1393205,1,A Reputed Group of Companies,N/A,Chattogram,At least 12 year(s),5 Sep2025,1,35 to 50 years,Negotiable,06 Aug 2025,Age 35 to 50 years,"Bachelor of Business Administration (BBA) in Accounting; CA, partly qualified.","Mobile bill,Provident fund,Gratuity,Performance bonus; Lunch Facilities: Partially Subsidize; Salary Review: Yearly; Festival Bonus: 2",Full Time,Only Male
Accountant,https://jobs.bdjobs.com/jobdetails/?id=1393129&fcatId=1&ln=1,1393129,1,Initiative for Right View (IRV),N/A,Khulna Sadar,At least 2 year(s),5 Sep2025,1,25 to 40 years,Negotiable,06 Aug 2025,Age 25 to 40 years,Bachelor/Honors; Masters,N/A,Full Time,N/A
