Company Name,Employment Status,Experience Cat,job_category_id,Location,Min Experience,Bonus,Gratuity,Insurance,Mobile Bill,Provident Fund,job title,vacancy,Degree,In Dhaka,avg_salary,avg_age,Gender
Lal Teer Livestock Ltd.,full_time,senior,1,Dhaka,5,TRUE,FALSE,FALSE,TRUE,TRUE,Manager - Compliance & Inventory,2,masters,TRUE,33750,35,3
SQ Group of Companies,full_time,mid,1,Dhaka,4,TRUE,FALSE,FALSE,TRUE,FALSE,Deputy Manager/ Manager – Accounts,2,professional,TRUE,33750,36.5,3
A Reputed Apartment & Developers Company,full_time,senior,1,Chattogram,5,FALSE,FALSE,FALSE,FALSE,FALSE,Senior Accountant,1,other,FALSE,33750,30,3
MUNIA OVERSEAS (RL-2452),full_time,mid,1,Uttara Sector 17,2,TRUE,FALSE,FALSE,TRUE,FALSE,ACCOUNTS,5,other,FALSE,33750,29,2
Sino Bangladesh Trade International Ltd,full_time,mid,1,Banani,2,TRUE,FALSE,FALSE,TRUE,FALSE,Accountant & Finance Officer,2,bachelors,FALSE,27500,30,2
CavinKare (Bangladesh) Private Limited,full_time,mid,1,Demra,3,TRUE,TRUE,TRUE,TRUE,FALSE,Officer (Finance & Accounts),1,other,FALSE,33750,32.5,1
Ocean Group,full_time,senior,1,Chattogram,5,TRUE,FALSE,FALSE,FALSE,FALSE,Accounts Officer,2,other,TRUE,33750,30,3
Linde Bangladesh Limited,full_time,senior,1,Dhaka,5,TRUE,TRUE,TRUE,FALSE,TRUE,Senior Executive - Finance,1,other,TRUE,33750,30,3
A Reputed Group of Companies,full_time,senior,1,Chattogram,12,TRUE,TRUE,FALSE,TRUE,TRUE,Head of Internal Audit (CTG Regional),1,professional,FALSE,33750,42.5,1
Initiative for Right View (IRV),full_time,mid,1,Khulna Sadar,2,FALSE,FALSE,FALSE,FALSE,FALSE,Accountant,1,other,FALSE,33750,32.5,3
Tiger Battery Co. Ltd.,full_time,mid,1,GULSHAN 1,3,TRUE,FALSE,FALSE,TRUE,FALSE,Senior Executive / Assistant Manager - VAT & Tax,2,professional,FALSE,52500,35,3
A Leading Manufacturing Company,full_time,senior,1,Dhaka,8,TRUE,FALSE,FALSE,TRUE,FALSE,Manager/Senior Manager (Internal Audit),2,professional,TRUE,33750,30,3
Merchants Machinery Services Limited,full_time,mid,1,DOHS Baridhara,3,FALSE,FALSE,FALSE,FALSE,FALSE,Accountant,2,masters,FALSE,33750,33.5,1
Paragon Group,full_time,senior,1,Ashulia,10,TRUE,TRUE,FALSE,TRUE,FALSE,Manager/ Dy. Mgr. (Costing),2,other,FALSE,33750,37.5,3
Remark HB Limited,full_time,mid,1,Gulshan,2,FALSE,FALSE,FALSE,FALSE,FALSE,Senior Executive/Asst. Manager-Internal Control & Compliance,2,other,FALSE,33750,30,3
Remark HB Limited,full_time,entry,1,Rangpur,1,FALSE,FALSE,FALSE,FALSE,FALSE,Executive-Internal Control & Compliance,1,bachelors,FALSE,33750,28.5,3
Leatherex Footwear Ind. Ltd.,full_time,unknown,1,Gulshan,3,TRUE,FALSE,FALSE,TRUE,FALSE,Accounts Executive,2,other,FALSE,33750,30,3
